review,rate
转录 服务公司 Rev 曝 隐私 丑闻 万 员工 可 访问 客户 数据 ,-1
联想集团 CEO 杨元庆 我 OUT 了 后 才 是 智能 消费 担当 ,1
等 了 天高瓴 格力 宣布 延后 签约 ,0
工信部 印发 携号 转网 服务 管理 规定 月 起 施行 ,0
全球 赛队 踏上 G 研发 竞技场 G 将 在 年 左右 出现 ,0
据悉 贝佐斯 曾 致电 布隆 伯格 谈及 明年 总统大选 事宜 ,0
环球时报 美国 撼 华为 难 又 怎能 搞垮 中国 供应链 ,0
市场监管 总局 加强 双 网络 集中 促销 期间 市场监管 ,0
丁肇中 中国 有 很多 世界 一流 实验 物理 科学家 ,1
工信部 张峰 工业 App 数近 个 工业 互联网 进 快车道 ,1
家电 商 平台 已下 架 电子 烟 线下 也 将 开展 清查 整治 ,1
特斯拉 中国 是 除 北美 外 最大 单一 市场 将 不断 加大 投入 ,1
特斯拉 与 宁德 时代 达成 初步 电池 供应 协议 ,0
报告 称 使用 电子 烟 的 美国 高中生 人数 仍 在 增加 ,0
威马 汽车 全资 收购 北京 金凯 鸿达 汽车 租赁 公司 ,0
支付 业 躺 着 挣钱 的 时代 结束 支付 机构 服务 下沉 ,-1
云 从 科技 工商 变更 创始人 周曦 卸任 法人 经理 董事 ,0
价值 万元 国画 快递 中 受损 快递 公司 只能 赔元 ,-1
中小学 人工智能 普及教育 将 为 人工智能 时代 奠基 ,1
联想 周年 杨元庆 发 内部 信 年收入 已 超过 亿元 ,1
河南 一 法院 执行 案 尾号 手机号 拍出 近 万 ,0
中国 力争 本世纪 中叶 建成 地 月 空间 经济区 ,1
马斯克 回应 质疑 SpaceX 或 在 年底 送 宇航员 到 空间站 ,1
Twitter 承认 用户 安全 数据 或 被 用于 广告 目的 ,-1
中国 市场 对于 NBA 来说 没 那么 重要 吗 ,0
美国 研制 瞬间 自毁 聚合物 固态 快速 过渡 至 分解 ,0
被 华为 起诉 的 传音 股价 暴跌 可 忧患 远不止 如此 ,-1
美 芯片 巨头 失去 华为 我们 好难 ,-1
苏宁 体育 完成 超 裁员 并 重启 与 阿里 整合 谈判 ,0
美国 电子 烟 神秘 肺病 病例 一周 激增 已致 人 死亡 ,-1
苏宁 易购 正式 收购 家乐福 将 加速 快消 领域 布局 ,1
人民日报 海外版 大兴 机场 探路 G 智慧 出行 ,1
Arm 中国 吴雄昂 从未 对华 为断 供 后续 架构 继续 供货 ,1
威马 EX 汽车 起火 官方 称 正在 配合 调查 事故 原因 ,-1
工信部 VPN 规定 不会 影响 国内外 企业 合规 开展 跨境 业务 ,1
iPhone 系列 渠道 价 出炉 绿色 最高 溢价 元 ,-1
台积 电向 应用 材料 等 公司 订购 价值 约 亿元 设备 ,0
袁隆平 团队 又 出手 国内 首个 海 水稻 寒地 育种 站 设立 ,1
俄 病毒 研究所 爆炸 实验室 存有 天花 病毒 官方 称 没有 危险物 泄露 ,-1
扎克 伯格 将 在 华盛顿 会晤 美 议员 讨论 互联网 监管 问题 ,0
特斯拉 在 德 挑战 保时捷 创造 电动车 最快 速度 记录 ,0
科技部 鼓励 设立 科技类 民办非 企业 单位 ,1
比尔盖茨 分拆 科技 巨头 不是 个 好 主意 ,0
滴滴 与 丰田 合资 公司 正式 成立 定名 丰桔 出行 ,0
特斯拉 拟 在 投产 前 扩建 上海 工厂 为 电池 生产 做 准备 ,1
美国 拟 允许 特斯拉 等 电动汽车 加入 多种 警报声 ,1
向 G 过渡 高通 收购 与 TDK 公司 权益 总价值 亿美元 ,1
国家 制造 强国 建设 专家 主 论坛 即将 在 合肥 举办 ,0
宣布 退休 的 第一 时间 我们 独家 专访 了 马云 ,0
特斯拉 明年 可能 推新 电池 可 行驶 万公里 ,1
人民日报 G 将 成为 文艺 创造 新 沃土 ,1
从马 老师 回归 马 老师 岁 马云 卸任 阿里 董事局 主席 ,0
比 隐私 滥用 更 可怕 的 是 AI 摄像头 的 黑灰产 之困 ,-1
国际 第三代 半导体 专业 赛 长三角 赛区 决赛 颁奖典礼 在 张家港 举行 ,0
国际 第三代 半导体 专业 赛 长三角 赛区 张家港 决赛 圆满结束 ,1
首例 太空 犯罪行为 出现 了 ,-1
共享 经济 涨价 潮 从 疯狂 烧钱 到 续命 ,-1
第七届 中国 绵阳 科博会 第一届 新型 智慧 城市 发展 论坛 在 四川 绵阳 隆重召开 ,1
Nature 封面 社交 网络 影响 集体 决策 或 改变 选举 结果 ,-1
我国 科学家 实现 原子级 石墨 烯 可控 折叠 属 世界 首次 ,1
这篇 科学论文 带来 了 治愈 艾滋病 的 曙光 ,1
运营商 预计 ARVR 等 高清 视频 将成 G 第一波 应用 ,0
三星 集成 G 处理器 Exynos 集成 G 基带 ,0
中国 天眼 近日 探测 到 快速 射电 暴 多次重复 爆发 ,0
科学家 发现 一种 新 形式 光波 季亚科 诺夫 福格特 波 ,1
天时地利人和 GAI 促进 手机 智慧 升级 ,1
华为 中国移动 发布 G 立体 覆盖 网络 推进 G 无缝 覆盖 ,1
暴风 集团 公告 法定代表 人 冯鑫 被 批准逮捕 ,-1
格力 易主 迎来 终极 PK 高瓴 厚朴 展开 亿 角逐 ,0
人民日报 海外版 智慧 医疗 未来 已来 ,1
同程 艺龙 联席 董事长 吴志祥 抛售 股份 套现 万港元 ,-1
郭 明 錤 华为 中国 市占率 将 达 G 手机 出货 亿部 ,1
让 科学 跑 赢 谣言 科学 辟谣 平台 正式 启动 ,1
人工智能 深度 赋能 金融 科技 风口 呼唤 领军 人才 ,1
一 公斤 美元 马斯克 把 小 卫星 发射 费 降到 白菜价 ,1
国产 操作系统 往事 四十年 激变 终再 起风云 ,0
中国 企业 强 发布 华为 排名第 阿里 联想 ,0
特斯拉 全系 免征 购置税 马斯克 这趟 中国 出差 来得 值 ,1
杰 和 科技 携手 京东 云 参展 重庆 智 博会 GDSM 智慧 商显 管理系统 惊艳 亮相 ,1
济南 先行 区 京东 创新 创业 大赛 济南 赛区 复赛 成功 举办 ,1
省 自贸区 总体方案 出炉 上市公司 将 迎来 重大 机遇 ,1
格芯 起诉 台积 电 侵权 苹果 联想 等 受 牵连 ,-1
旷视 冲刺 IPOAI 独角兽 的 无限 游戏 ,0
人类 DNA 是 垃圾 但 它们 具有 至关重要 的 作用 ,0
科大 讯 飞 回应 亿 政府 补助 不会 靠 政府 补助 来 运营 ,1
岁 以下 儿童 注意 长期 使用 电子产品 面临 六大 伤害 ,-1
特斯拉 据悉 与 LG 化学 达成协议 为 其 中国 工厂 采购 电池 ,0
金山 云 Q 营收 亿 同比 增占 金山 软件 总营收 ,1
云 平台 网络 威胁 加剧 工业 互联网 成 网络攻击 重点 目标 ,-1
三星电子 占 韩国 上半年 出口额 ,0
中 金 下调 联想集团 目标价 至 港元 后者 盘中 下跌 ,-1
微软 更新 隐私 政策 承认 聘请 供应商 收听 语音 数据 ,-1
联想 第一季度 股东 应 占 净利润 亿美元 超出 预期 ,1
年 美国 专利 数量 公布 IBM 夺 榜首 华为 排第 ,1
三星电子 找到 代替 渠道 从 比利时 采购 半导体 材料 ,0
加油站 能否 扫码 支付 应有 统一 规范 ,0
鸿蒙 系统 正式 亮相 华为 手机 随时 可以 使用 ,1
深圳 区块 链 电子 发票 已有 超家 企业 使用 ,0
第届 科学仪器 网络 原创 作品 大赛 征稿 通知 ,0
虚拟 细胞 或 将 改变 一个 领域 ,0
十年一剑 大亚湾 中微子 实验 令 世界 瞩目 ,1
首艘 猎户座 组装 完成 年内 载人 登月 ,1
蚂蚁 金服 联姻 全球 最大 公募 Vanguard 回应 不予置评 ,-1
中国科大 等 实现 海森堡 极限 精度 的 一般 信道 参数 测量 ,1
大连 应急 救援 无人机 测试 大疆 表现 惊艳 连获 三项 第一 ,1
统计学 诺贝尔奖 授予 R 语言 软件 工程师 ,1
国家邮政局 月 中国 快递 发展 指数 同比 提高 ,1
SpaceX 宣布 火箭 拼车 发射 项目 万美元 可送 卫星 上天 ,1
科学 中国 科学家 对美 日渐 增长 反华 情绪 感到 震惊 ,-1
人 中科院 院士 增选 初步 候选人 名单 公布 ,0
字节 跳动 瞄准 百度 铁饭碗 上 万台 机器 已 在 运作 ,0
英特尔 已 申请 向 华为 供货 的 许可证 ,0
本田 汽车 云端 数据库 未设 密码 全球 员工 信息 险遭 泄露 ,-1
科学家 首次 创造 出 永磁 液体 可变 多种 形状 操控 下 移动 ,1
暴风 的 失控 冯鑫 一语 成 箴 ,-1
格力 举报 奥克斯 后 被 曝 自家 空调 不 达标 声明 称 是 曲解 ,-1
华为 智慧 屏来 了 将 使用 鸿蒙 系统 和 自研 芯片 月 发布 ,0
马斯克 隧道 公司 Boring 融资 亿美元 为 首次 外部 投资 ,0
阿里 飞天 大 数据 平台 正式 亮相 国内 最大 计算 平台 ,1
被 FTC 罚款 后 Facebook 被 美国 证监会 罚款 亿美元 ,-1
特斯拉 联合 创始人 兼 CTO 将 离职 此前 地位 仅次于 马斯克 ,0
华为 最高 万 年薪 招 顶尖 学多为 人工智能 等 领域 ,0
美 司法部 拟 调查 大型 科技 公司 涉及 反垄断 问题 ,0
海关总署 上半年 全国 跨境 电商 进口货 值超 亿元 ,1
马斯克 星舟 重型 运载火箭 将 安装 台 发动机 ,1
工信部 中国 市场 已有 约款 G 手机 可 上市 ,1
国家 网信 办 等 四 部门 发布 云 计算 服务 安全 评估 办法 ,0
紫光 展锐 荣获 G 突出 贡献奖 G 芯片 可 支持 SA 和 NAS ,1
特斯拉 招聘 个 职位 约 人 竞争 堪比 公务员 考试 ,-1
法国 财长 将 维持 对 互联网 巨头 征收 数字 服务 税 ,0
特斯拉 冲击波 将 至 国产 版 Model 的 围剿 与 反 围剿 ,-1
苹果 首席 合规 官 我们 的 生态系统 好 大家 才能 更好 ,1
华为 董事长 谈 美国 封杀 影响 上半年 营收 保持 了 增长 ,1
商务部 不 可靠 实体 清单 将 于 近期 发布 ,0
上海 公安网 安 依法 对家 违规 App 运营 企业 处以 停机 整顿 ,-1
FB 员工 平均 每年 创造 利润 万美元 但 薪资 不是 最高 ,1
特斯拉 推 全自动 驾驶 后 将 大幅 涨价 要 买 赶紧 ,-1
微软 帐户 两年 内 不 活跃 将 被 删除 且 不会 发送 提醒 邮件 ,-1
中国 超算 顶天立地 四十年 累计 拿下 次 世界 第一 ,1
发展 人工智能 芯片 中国 不能 偏科 ,0
划 重点 成都 电子信息 博览会 精彩 看点 ,1
网络安全 合规 和 数据保护 实践 国际 峰会 ,0
百度 官方 回应 李彦宏 遭 泼水 前行 的 决心 不会 改变 ,0
美众议院 议员 致信 FB 领导层 要求 立即 停止 Libra 项目 ,-1
工业 富联 G 产品 已卖 几十万 台 股价 受多 因素 影响 ,-1
工信部 与 微信 推婴配 乳粉 追溯 小 程序 涉 亿条 信息 ,-1
特朗普 称美 企可 继续 供货 华为 华为 官 推 U 型 转弯 ,0
紫光 集团 宣布 组建 DRAM 事业 群 ,0
首席 设计 官 离职 苹果 盘后 一度 跌 超市 值损 亿美元 ,-1
传 苹果 未 采购 足量 OLED 面板 面临 三星 数千 亿韩元 索赔 ,-1
富士康 辟谣 撤离 大陆 一说 是 无稽之谈 无 大规模 裁员 ,1
特斯拉 获得 豁免 从 日本 进口 铝暂 不 交纳 关税 ,1
加拿大 孟晚 舟 律师 指出 放弃 对 孟晚 舟 引渡 符合 加 利益 ,1
联邦快递 被 点名 后 起诉 美国商务部 我们 不是 执法 机构 ,0
国际清算银行 科技 巨头 从事 金融业务 应 接受 同样 监管 ,0
为什么 苏宁 比永辉 更 需要 家乐福 ,0
盖茨 透露 自己 曾 犯下 亿美元 的 错 给 了 安卓 机会 ,-1
明确 反对 关税 四家 美国 科技 巨头 发布 联合声明 ,1
美国 议员 拟 立法 阻止 华为 依法 维权 外交部 回应 ,-1
传 特斯拉 重组 亚洲 业务 将 建立 大中华区 部门 ,0
董明珠 举报 奥克斯 非 竞争 是 道德 选择 格力 欢迎 监督 ,1
爱因斯坦 和 诺贝尔奖 的 恩怨 ,0
搅局 中国 零售 Costco 面前 的 三道坎 ,-1
苹果 CEO 库克 前往 白宫 参加 就业 培训 讨论 ,0
马斯克 特斯拉 可能 会 进入 采矿业 以 确保 电池 充足 ,0
呼和浩特 施援 贾跃亭 为 意向 阶段 FF 对 合作 造车 缄默 ,0
马斯克 称 曾经 设计 过 潜水 车 灵感 来自 电影 ,0
苗圩 人工智能 是 引领 未来 发展 的 战略性 技术 ,1
工商银行 正式 推出 首家 基于 G 应用 的 新型 智能网 点 ,1
深圳 互金 协会 推出 PP 网贷 机构 良性 退出 投票系统 ,1
三星电子 高管 被 逮捕 涉嫌 销毁 生物 技术 公司 欺诈 证据 ,-1
国产 特斯拉 开订 万 一辆 能否 拯救 困局 ,0
蔚来 李斌 的 三重 考验 销量 资金 效率 ,0
刚刚 IEEE 发声明 承认 限制 华为 人 参与 论文 审稿 ,-1
中兴 腾讯 开展 G 网络 合作 将 成立 联合 创新 实验室 ,1
美 FTC 委员 将 鼓励 高院 重新考虑 高通 反 垄断案 裁决 ,1
年 亚太地区 AI 支出 预计 达 亿美元 中国 增长 最大 ,1
微软 等 致信 美国政府 封杀 中国 企业 将 引火烧身 ,-1
五大 标准 组织 暂停 华为 成员 资格 ,-1
搭 上 工业 互联网 新 动能 加速 成长 ,1
科大 讯 飞 与 华为 类似 从 ToB 到 ToC 能 坐 十年 冷板凳 ,-1
格力 神秘 潜在 接盘 者 厚朴 投资 蘑菇 街 小米 均 获 高回报 ,1
美国 打 华为 疼 的 是 苹果 ,-1
德 芯片 厂商 否认 停供 华为 大多数 产品 不 受 美国 限制 ,1
海康 威视 遭遇 美国 断供 回应 暂时 未 接到 消息 ,0
美国 封杀 华为 导致 自身 混乱 美欧 芯片 股 大跌 ,-1
任正非 中国 将来 要 和 美国 竞赛 一定 是 通过 教育 ,0
任正非 称 不会 听命于 美国政府 华为 已 做好 准备 ,0
马斯克 SpaceX 有 充足 资金 运营 卫星 上网 服务 ,1
特斯拉 太阳能 工厂 以 出口 为主 美国 业务 陷 困境 ,-1
英特尔 再 爆 安全漏洞 可 将 部分 芯片 速度 拖慢 近 ,-1
英 伟达 中国区 总经理 瞄准 内容 创造者 是 PC 品牌 机会 ,0
日本 显示器 考虑 在 中资 财团 投资 前提 下 裁员 人 ,-1
东芝 半导体 部门 将 进一步 裁员 人 ,-1
华为 将 发布 新云 计算 数据库 产品 挑战 甲骨文 微软 ,0
百度 Apollo 自动 驾驶 与 车路 协同 项目 落户 沧州 ,0
乐视 汽车 旗下 公司 注销 贾跃亭 亲属 为 实际 控制 人 ,0
格力 全资 子公司 注册资本 增至 亿 增加 ,1
甲骨文 大象 转身 云 服务 亡羊补牢 ,0
三星 多个 项目 代码 泄露 包括 SmartThings 源代码 和 密钥 ,-1
微软 推出 新 平台 以 打造 自主 机器人 ,1
云 服务 成 微软 Build 大会 焦点 多项 新 功能 挑战 亚马逊 ,1
库克 我 对 巴菲特 持有 巨额 苹果 股票 感到 很 激动 ,1
第二届 数字 中国 建设 成果 展开 馆 ,1
人民日报 科技成果 转化 呼唤 专业 红娘 ,1
巴菲特 进军 车险 的 特斯拉 是 威胁 但 非 最大 竞争对手 ,0
中国 制造 到 中国 品牌 曾经 排队 买 苹果 如今 排队 购 华为 ,1
VEX 机器人 世界 锦标赛 赛程 过半 中国队 实力 包揽 初高中 组 冠军 ,1
比尔盖茨 基金会 将 在 我 和 妻子 去世 后 年内 关闭 ,-1
锤子 回应 坚果 OS 官方 微博 账号 现已 停用 ,-1
丰田 在 美国 的 车 联网 普及 计划 正 遭遇 重重 阻力 ,-1
格力 待嫁 股权 转让 扑朔迷离 珠海 国资委 称 方向 正确 ,0
惠普 黯淡 背后 CEO 换血 频繁 拆分 结构 混乱 ,-1
多 部门 整治 图片 市场 整治 图片 公司 滥用 权利 等 行为 ,1
我 体验 了 下 G 手机 问 了 问 G 距离 普通人 究竟 还 多 远 ,0
国家航天局 中国 年 或 将 实现 载人 登月 ,1
人工智能 破译 神经 活动 脑机 接口 说出 无言 心声 ,1
拉 卡拉 正式 上市 开盘价 元大涨 ,1
年 中国航天 日 主场 活动 长沙 开幕 ,1
贾跃亭 投资 的 汽车 公司 任命 特斯拉 前 首席 工程师 为 CEO ,1
刘强 东案 音视频 机构 媒体 的 堕落 与 溃败 ,-1
中国 明年 将 实施 嫦娥 号 任务 实现 月面 自动 采样 返回 ,1
第二届 中国航天 创新 创业 大赛 决赛 在 西安 举办 ,0
郭台铭 参选 台 金管会 要求 做好 接班人 咨询 揭露 ,0
TESS 望远镜 发现 首颗 地球 大小 系 外行星 或 有 大气层 ,1
SpaceX 向 FCC 申请 互联网 卫星通信 许可 ,1
福 维克 美善 品三大 措施 发力 中国 市场 ,1
市监 总局 等 六 部门 加大 对 侵犯 知识产权 行为 查处 力度 ,1
中国 企业 拟 增产 OLED 面板 追赶 韩国 ,1
大兴 机场 新 员工 将 上岗 智能 城市 渐行 渐近 ,1
金山 软件 股东 变更 联想 等位 股东 同日 退出 ,-1
视觉 中国 被 打 脸 了 ,-1
拜腾 否认 董事长 毕福康 将 离职 报道 情况 与 事实 不符 ,-1
国美 等待 黄光裕 这句 话 内涵 实在 太 丰富 ,0
G 推动 边缘 计算 应用 进入 快速 发展期 CDN 市场 将 高 增长 ,1
机器 换人 成 用工 趋势 佛山 工业 机器人 产业 的 竞合 江湖 ,1
三星 全球 首发 G 智能手机 开创 智能 生活 新 时代 ,1
高通 宣布 新型 数据中心 人工智能 芯片 计划 年 生产 ,0
今晚 人类 将 看见 黑洞 ,1
菲亚特 斥资 数亿美元 向 特斯拉 购买 碳 排放 额度 ,0
美国 SEC 官员 要求 法官 处罚 马斯克 是 合理要求 ,0
避免 人工智能 陷入 信任危机 欧盟 先发制人 制定 规则 ,0
华大基因 谜团 待解 一纸 监管 决定 暴露 信披 漏洞 ,-1
特斯拉 针对 销售 团队 展开 裁员 订车 流程 转移 到线 上 ,-1
马斯克 被 曝 与 员工 发生 肢体冲突 特斯拉 董事会 否认 ,-1
微软 中国 突围 强手如林 内忧外患 ,-1
微软 重视 人工智能 CEO 每周 组织 高管 评估 公司 AI 项目 ,1
国家邮政局 月 中国 快递 发展 指数 同比 提高 ,1
高通 CFO 前脚 离职 后脚 加入 对家 英特尔 ,-1
神州数码 去年 云 收入 近 亿 郭为 称 百亿 才 算 转型 成功 ,1
无人驾驶 公司 AuroraCEO 愿 与 宝马 戴姆勒 合作 ,1
硅谷 著名 风投 AZ 宣布 转型 将 成为 投资 顾问 机构 ,1
国美 系低 开国 美 通讯 跌 中关村 跌 ,-1
微软 亚太区 总裁 中国 发展 AI 有 优势 上海 是 创新 代表 ,1
高通 前 CEO 放弃 收购 高通 及 私有化 将 专注 创业 ,0
图灵奖 获得者 YoshuaBengio 抵制 杀手 机器人 ,1
拟 亿 购买 吴晓波 频道 全通 教育 被 深交所 追问 ,0
余承东 接受 外媒 专访 我们 的 G 技术 遥遥领先 ,1
巴菲特 波音 Max 的 问题 不会 改变 这个 行业 ,-1
巴菲特 评 苹果 进军 娱乐 这是 可以 犯 一两次 错误 的 公司 ,0
鏖战 印度 三星 跌下 神坛 后 再战 中国 厂商 组队 厮杀 ,-1
WTO 裁定 美国 未能 撤销 一些 针对 波音 的 非法 补贴 ,-1
特朗普 谷歌 总裁 向 我 保证 忠于 美军 而 非 中国 军队 ,0
马斯克 一个月 内 两度 发邮件 解释 特斯拉 关闭 门店 计划 ,-1
美航 飞行员 呼吁 审批 波音 Max 软件 更新 时勿 操之过急 ,0
波音 又 出事 了 西南航空 波音 Max 在 奥兰多 紧急 迫降 ,-1
苹果 在 高通 针对 其 提出 的 第二 起 诉讼 中 躲过 了 进口 禁令 ,-1
甲骨文 计划 月份 裁员 人 调整 云 计算 战略 ,-1
新能源 车 补贴 政策 调整 好 钢用 在 刀刃 上 ,1
民航局 暂停 受理 MAX 飞机 适航证 申请 意味着 什么 ,-1
麦当劳 宣布 最 大规模 收购 创建 更 个性化 汽车 餐厅 菜单 ,1
比特 大陆 架构 调整 王海 超任 CEO 聚焦 数字 货币 AI 芯片 ,1
腾讯 云 详解 服务器 故障 光纤 挖断 所致 秒 恢复 网络 ,-1
盗 万条 个人信息 叫价 比特 币网 偷 被 警方 抓获 ,-1
人工智能 全球 竞赛 中国 智能 高速 冲浪 ,1
人民日报 智能 更应 重视 安全 挑战 ,1
五个 月 两起 坠机 事故 是 垄断 地位 害 了 波音 吗 ,-1
世卫 呼吁 建立 人类基因 编辑 全球 注册 制度 ,1
戒酒 只要 秒 这群 科学家 用 了 什么 黑 科技 ,1
富士康 宣布 威斯康星 工厂 将 于 年底 之前 投产 ,0
世界知识产权组织 国际 专利申请 量 华为 第一 ,1
SEC 对 马斯克 在 达成协议 时 发布 特斯拉 推文 感到 震惊 ,0
美政府 联合 英特尔 开发 每秒 百亿 亿次 计算 的 超级计算机 ,1
波音 正在 对 Max 进行 软件 升级 改善 飞行员 培训 计划 ,1
传 特朗普 私下 认为 自动 驾驶 威胁 社会 太 疯狂 了 ,-1
美国 法官 裁决 高通 欠 苹果 亿美元 专利费 退款 ,-1
中国 信通 院 院长 刘多 新型 基础 投资 建设 助力 稳 增长 ,1
特斯拉 任命 新 首席 会计 官 曾 供职 于 SolarCity ,0
美国 研究 机构 到 年 中国 AI 研究 有望 领跑 全球 ,1
因 起火 隐患 惠普 扩大 笔记本 电池 召回 范围 ,-1
京东方 力求 成为 下一代 iPhone 屏幕 第二家 供应商 ,0
马斯克 推文 风波 仍 继续 法官 允许 SEC 回应 马斯克 抗辩 ,-1
特斯拉 车主 仍 喜欢 该 品牌 但 最大 问题 是 服务 ,-1
最后 期限 已近 马斯克 仍 未 回应 SEC 藐视 法庭 指控 ,-1
张勇 不再 担任 阿里 创投 管理 公司法人 戴珊 接任 ,0
上市 后首现 利润 下滑 顺丰 控股 长远 布局 需忍 短期 阵痛 ,-1
马斯克 那 一夜 你 伤害 了 我 ,-1
文件 特斯拉 与 中国 多家 银行 达成 亿元 贷款 协议 ,0
华为 有 证据 表明 美国政府 涉嫌 入侵 华为 服务器 ,-1
彭博 三星 否认 考虑 竞购 恩智浦 ,0
黑猫 投诉 年度 红黑榜 共享 出行 企业 领跑 黑榜 ,1
特斯拉 称 已 与 中国海关 达成 清关 问题 的 解决方案 ,1
李斌 证实 蔚来 汽车 确定 取消 嘉定 建厂 计划 ,-1
软银 愿景 基金 贷款 亿美元 弥补 交易 资金 缺口 ,0
李克强 深入 实施 创新 驱动 发展 战略 创新能力 效率 提升 ,1
法国 财长 对谷歌 等 巨头 征税 每年 或 将 获 亿 欧元 收入 ,1
滴滴 新 成立 全资 子公司 经营范围 涉 自动 驾驶 汽车 技术 ,1
特斯拉 计划 于 本月 日 发布 SUV 新车型 ModelY ,0
称 招商 加盟网 做 虚假 宣传 呷 哺 呷 哺 起诉 索赔 ,-1
华为 将 在 加拿大 扩招 名 研发 人员 增加 研发 资金投入 ,1
李小加 将 在 沪 深港 通 的 交易 后 分配 中 应用 区块 链 技术 ,0
工信部 链家 斗鱼 等 App 因 互联网服务 存 问题 被 督促 整改 ,-1
研究 称 黑客 可 通过 漏洞 劫持 裸 金属 服务器 IBM 将 修复 ,1
注册资本 亿美元 恒大 成立 新能源 汽车 公司 ,0
特斯拉 车主 再 遭 致命 事故 事故 发生 一天 后 电池 仍 燃烧 ,-1
美国 云 计算 法案 规定 治外法权 引起 欧盟 强烈 反弹 ,-1
中国 资本 亮相 奥斯卡 阿里 影业 成 最大 赢家 ,1
英特尔 年前 不 推出 G 芯片 或致 苹果 今年 无 G 手机 ,-1
科学家 揭示 细胞 门神 抗病毒 感染 重要 调控 机制 ,1
全国 首个 人工智能 创新 发展 试验区 在 北京 成立 ,1
国家邮政局 月 快递 量 亿件 业务收入 亿元 ,1
裁员 风暴 下 的 比特 大陆 人工智能 业务 成为 重灾区 ,-1
华为 又 摊事 了 被 指 抄袭 苹果 获取 商业 机密 华为 已 否认 ,-1
物理学家 创建 量子 制冷机 或 被 用于 冷却 微电子 组件 ,1
珠峰 永久 关闭 系 谣言 实为 科学 保护 再 升级 ,1
春节 暖心 服务 不断 前行 华为 体验 店里 的 那些 感动 一刻 ,1
滴滴 宣布 过冬 将 裁员 涉及 员工 超人 ,-1
省 GDP 目标 推动 高质量 发展 成 聚焦点 ,1
年度 克利夫兰 奖 正式 颁给 潘建伟 团队 ,1
教育部 将 明确 教师 不得 通过 微信 和 QQ 等 方式 布置 作业 ,0
滴滴 春节 打车 平均 成功率 为 司机 发放 补贴 超亿 ,1
京东方 击败 LG 成 全球 最大 电视 和 显示器 液晶面板 供应商 ,1
全球 首次 中国 AI 诊断 技术 成果 荣登 顶级 医学杂志 ,1
自动 驾驶 实力 排名 谷歌 第一 百度 第七 苹果 惨不忍睹 ,0
北 磁极 偏移 你 我 的 手机 导航 都 会 受 影响 ,-1
贝佐斯 荣登 美国 慈善 排行榜 首位 去年 捐款 亿美元 ,1
